video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"PSC4TcLJfAg","Miley Cyrus - Flowers (LIVE at the 66th Grammys)","2024-02-15T22:05:13Z","UCdI8evszfZvyAl2UVCypkTA","MileyCyrusVEVO","10","24.18.02","Miley|Miley Cyrus Flowers|can love me better|can buy myself flowers|can love me better than you can|Miley Liam|Miley Grammy|Miley Grammy performance|Miley flowers live|Album|Bittersweet|Chill|Empowered|Feeling Good|Flowers|Groovy|Miley Cyrus|Single|Upbeat","4219195","5195","False"
"2OZbV8CHKI0","The Hermitcraft Mail Delivery System! - Hermitcraft 10 #3","2024-02-16T14:46:20Z","UC4YUKOBld2PoOLzk0YZ80lw","Tango Tek","20","24.18.02","[none]","360186","1741","False"
"gB5SiTKBfyQ","ENHYPEN covers “I NEED U” by BTS | K-Pop ON! First Crush","2024-02-17T03:00:08Z","UCnvajgaZO1bjqLpQ6l77lcg","K-Pop ON! Spotify","10","24.18.02","ENHYPEN|엔하이픈|엔하이븐|하이브|HYPE|HYBE|JUNGWON|HEESUNG|JAY|JAKE|SUNGHOON|SUNOO|NI-KI|ORANGE BLOOD|오렌지 블러드|Mortal|Sweet Venom|Still Monster|Blind|Orange Flower|정원|희성|제이|제이크|성훈|선우|니키|스포티파이|스포이파이 케이팝|스포티파이 엔하이픈|엔하이픈 케이팝온|엔하이픈 온케이팝|엔하이픈 쇼츠|Spotify|Spotify ENHYPEN|K-Pop ENHYPEN|Spotify K-Pop|ENHYPEN Interview|ENHYPEN Shorts|ENPYHEN|K-Pop ON! First Crush|K-Pop ON!|엔하이픈 티저|BTS|I NEED YOU|방탄소년단|방시혁|BTS Cover|ENHYPEN Cover|엔하이픈 커버|방탄소년단 커버|I NEED U Cover|아니쥬 커버","928018","7855","False"
"NCmp7AV8O9s","KAROL G, Tiësto - CONTIGO (Official Video)","2024-02-15T00:00:06Z","UCz9yS18zJGQObwUL_K-ICnw","KarolGVEVO","10","24.18.02","Karol|karolg|la bichota|bichota|bichota season|amargura|tqg|mañana sera bonito|provenza|mamiii|barbie|karol nicki minaj|mi ex tenia razon|qlona|karol|s91|bad bunny|becky|shakira|ovy on the drums|reggaeton|reggaeton colombiano|pop latino|msb|young miko|miko|labios mordidos|kali uchis|msb tour|msb latam tour|msb europe|tiesto|leona lewis|keep bleeding|ryan tedder|wiggy|classy 101|bzrp young miko","15470557","36405","False"
"0UdXsm9gJ-s","I Tried Houdini's Deadliest Trick","2024-02-16T15:58:13Z","UCGGZ_POGmIWG1pQXTDzQv-g","Michelle Khare","24","24.18.02","[none]","547479","1937","False"
"ZjBZ8MUnB0E","Dua Lipa - Training Season (Official Music Video)","2024-02-15T23:00:21Z","UC-J-KZfRV8c13fOCkhXdLiQ","Dua Lipa","10","24.18.02","dua lipa|dua|new rules|dua leepa|idgaf|scared to be lonely|be the one|future nostalgia|don't start now|let's get physical|break my heart","3718187","10661","False"
"r6vz9ym3Qso","Ariana Grande - yes, and? with Mariah Carey (official lyric video)","2024-02-16T05:01:44Z","UC9CoOnJkIBMdeijd9qYoT_g","Ariana Grande","10","24.18.02","yes and|yes and ariana grande|ariana grande yes and|ariana grande|ariana grande yes and music video|music video yes and ariana grande|new ariana grande|ariana grande new|ariana grande music video|ariana grande yes and single|say that shit with your chest|be your own fucking best friend|yes and lyric video|lyric video yes and|ariana grande yes and lyric video|mariah carey|ariana grande and mariah carey|ariana and mariah|yes and ariana grande and mariah carey","1329538","10833","False"
"iiBdHTpbJ68","Anuel AA - TACOS GUCCI (Video Oficial)","2024-02-16T01:00:09Z","UCRI7hheejBbWS6etTNwMT0g","Anuel AA","10","24.18.02","Anuel AA|anuel|Free anuel|Emmanuel|Real hasta la muerte|New Music|Reggaeton|Trap|Latin Trap|2022|Las Leyendas Nunca Mueren|Las Leyendas Nunca Mueren 2|LLNM|LLNM2|anuel aa|ANUEL|new album|nuevo album","12282470","13381","False"
"kLo7Okqv7tc","I Went To The Super Bowl","2024-02-17T16:00:26Z","UCnmGIkw-KdI0W5siakKPKog","Ryan Trahan","24","24.18.02","Ryan|Trahan|super bowl|dad|Access Pass|I went to the super bowl|chiefs|49ers|NFL","1819565","8766","False"
"x4pyZl-zwck","Fani Willis' dad full testimony","2024-02-16T17:50:15Z","UCzF4Ryn8TKn64md77gS5Q5Q","11Alive","25","24.18.02","Fani|Fani Willis|Fani Willis dad|Fani Willis hearing|Fani hearing|Georgia Trump|Georgia Trump case|John C Floyd III|Roy Barnes|Trump|Trump Georgia","566690","6761","False"
"QWOHZhBi6SY","Cookie Clicker: AAAAAHHHHH","2024-02-16T11:09:48Z","UCVEUCWGFB_-ojubEDjts2nA","Dragoon","20","24.18.02","[none]","668509","1985","False"
"z_BKf5cdV_w","Skull and Bones - Review","2024-02-16T12:56:55Z","UCZ7AeeVbyslLM_8-nVy2B8Q","Skill Up","20","24.18.02","skill up|skill|up|gameplay|games|guide|xbox|pc|sony|playstation|gaming|skull and bones|skull and bones review|skull and bones gameplay|skull and bones game|skull and bones trailer|skull and bones release date|skull and bones details|skull and bones ps5|skull and bones video game|skull and bones xbox|review|skull and bones combat|skull and bones vs black flag|assassin's creed black flag|black flag|pirate games|sea of thieves vs skull and bones|sea of thieves","588957","4451","False"
"Xa6DZCTm3c0","A Tu Manera","2024-02-15T10:00:31Z","UCwA5HHGsAlpU1UlhwWD52uA","Junior H - Topic","10","24.18.02","Junior H|Peso Pluma|A Tu Manera","588427","1166","False"
"RvGlkQKipGo","College Football 25 | Official Teaser Trailer","2024-02-15T16:02:45Z","UCT4wAMwETXqDf-U_DVuqabA","EA SPORTS College","20","24.18.02","college football|college football 25|college football 25 trailer|college football reveal|college football announce|cfb|cfb 25|cfb 25 trailer|cfb teaser|cfb 25 reveal|cfb 25 announce|college football release date|college football 25 game|ea sports|ea sports cfb|ea sports college football|road to glory|dynasty|cfb 25 gameplay|college football 25 gameplay|cfb 25 cover|college football 2025|college football teaser|college football teaser trailer|ncaa","579111","3414","False"
"qqrpMRDuPfc","Godzilla x Kong: The New Empire | Official Trailer 2","2024-02-14T17:00:47Z","UCjmJDM5pRKbUlVIzDYYWb6g","Warner Bros. Pictures","1","24.18.02","2024|Adam Wingard|Brian Tyree Henry|Coming Soon|Dan Stevens|Godzilla|Godzilla x Kong|Godzilla x Kong: The New Empire Kong|Jeremy Slater|King Kong|Legendary|Mini Kong|Monsterverse|Movie|Rebecca Hall|Simon Barrett|Skar King|Terry Rossio|Trailer|WB|Warner Bros|Warner Bros Discovery|Warner Brothers","18252147","26517","False"
"h0P3VM0mhg4","Grupo Frontera - Quédate Bebé (Video Oficial)","2024-02-16T02:49:49Z","UCKsN6xyJ2w8g7p4p9apXkYQ","Grupo Frontera","10","24.18.02","Grupo Frontera Quédate Bebé|grupo frontera|quedate bebe|quedate|Quédate|quedate bebe grupo frontera|ahi estan los tikets que compre pa nueva york|quedate bebé video oficial","1393366","1357","False"
"ybAU4bPU6Yk","Caitlin Clark's record-breaking shot","2024-02-16T01:24:36Z","UCLQZYp8Lf3Qx6taakodOk8g","WHO13","25","24.18.02","video","272322","211","False"
"9mb0BaOrIBE","YoungBoy Never Broke Again - closed case [Official Music Video]","2024-02-16T05:02:18Z","UClW4jraMKz6Qj69lJf-tODA","YoungBoy Never Broke Again","10","24.18.02","YoungBoy Never Broke Again|NBA YoungBoy|YoungBoy Quando Rondo|YoungBoy Leak|Make No Sense YoungBoy|Youngboy Lost Motives|YoungBoy NBA Music Video|YoungBoy Never Broke Again TOP|nba youngboy top|YoungBoy NBA TOP album|7KTt4_M09Rw|0C80BSgjb8M|qChxuVxs8FA|dYk-yCsuTUo|6MCSr65d9Xc|ALimx-H8C6s|YoungBoy Never Broke Again Sincerely Kentrell|Sincerely Kentrell|Youngboy NBA Sincerely Kentrell|Sincerely Kentrell album|YBNBA Sincerely Kentrell|YB Sincerely Kentrell|Kentrell","1203825","6566","False"
"KGlD9SO3rKU","Updates on the Xbox Business | Official Xbox Podcast","2024-02-15T20:00:18Z","UCjBp_7RuDBUYbd1LegWEJ8g","Xbox","20","24.18.02","Xbox|Xbox One|Xbox Series X|Xbox Series S|Official Xbox Podcast","588629","3608","False"
"mjHCHce5IN0","Behind the Scenes with Jung Kook | Calvin Klein Spring 2024 Campaign","2024-02-16T15:04:16Z","UCuf6cvFcYdpHZ_EjSIcBZlg","Calvin Klein","26","24.18.02","[none]","425890","2523","False"
